player_id,yr,pa,ab,r,h,_1b,_2b,_3b,hr,rbi,sb,cs,bb,so,ibb,hbp,sh,sf,gidp
anderbr06,2019,520,459,57,120,66,33,1,20,66,5,1,44,114,1,14,0,3,15
anderch01,2016,52,45,3,4,4,0,0,0,1,0,0,1,27,0,1,5,0,0
anderch01,2017,55,52,1,7,6,1,0,0,3,0,0,0,29,0,0,3,0,1
anderch01,2018,49,45,1,4,4,0,0,0,2,0,0,0,23,0,0,4,0,0
anderch01,2019,44,40,1,4,3,1,0,0,1,0,0,2,24,0,0,2,0,0
anderco01,2016,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
anderco01,2019,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
anderdr02,2017,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
anderdr02,2018,4,3,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0
anderdr02,2019,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
anderju01,2018,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
anderju01,2019,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
anderni01,2019,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
andersh01,2019,28,25,0,2,1,1,0,0,0,0,0,0,19,0,1,2,0,0
anderta01,2018,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
anderta01,2019,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
anderti01,2016,431,410,57,116,79,22,6,9,30,10,2,13,117,0,1,6,1,15
anderti01,2017,606,587,72,151,104,26,4,17,56,15,1,13,162,0,3,2,1,13
anderti01,2018,606,567,77,136,85,28,3,20,64,26,8,30,149,2,4,2,3,15
anderti01,2019,518,498,81,167,117,32,0,18,56,17,5,15,109,0,3,0,2,12
anderty01,2016,42,35,1,4,3,0,0,1,3,0,0,4,11,0,0,3,0,0
anderty01,2017,33,26,1,1,1,0,0,0,0,0,0,1,17,0,0,6,0,1
anderty01,2018,60,50,7,5,5,0,0,0,1,0,0,3,32,0,1,6,0,1
